id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
ts57424,The Forest,SHOW,"In a small quiet village in the Ardennes, a sixteen-year-old girl disappears into the forest after calling her teacher in the middle of the night. Captain Gaspard Deker, a former soldier and newly arrived single father is conducting the investigation with Virginie Musso, the local cop. Also helping is the teacher, Eve Mendel, a solitary young woman with a mysterious past: she was found as a child by the villiage doctor wandering silently in the same forest.",2017,TV-MA,52,crime thriller drama european,FR,1.0,7.2,10137.0,28.763,7.1,Samuel Labarthe,"crime thriller drama european In a small quiet village in the Ardennes, a sixteen-year-old girl disappears into the forest after calling her teacher in the middle of the night. Captain Gaspard Deker, a former soldier and newly arrived single father is conducting the investigation with Virginie Musso, the local cop. Also helping is the teacher, Eve Mendel, a solitary young woman with a mysterious past: she was found as a child by the villiage doctor wandering silently in the same forest. FR SHOW TV-MA Samuel Labarthe"
tm240076,Buster'S Mal Heart,MOVIE,An eccentric mountain man on the run from the local sheriff recalls the mysterious events that brought him to his present fugitive state.,2017,NR,96,thriller drama crime,US,0.0,6.2,10490.0,10.799,6.2,Rami Malek,thriller drama crime An eccentric mountain man on the run from the local sheriff recalls the mysterious events that brought him to his present fugitive state. US MOVIE NR Rami Malek
tm217228,Death Note,MOVIE,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",2017,NC-17,101,fantasy horror thriller action crime drama,US,0.0,4.5,83519.0,43.924,4.2,Nat Wolff,"fantasy horror thriller action crime drama A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror. US MOVIE NC-17 Nat Wolff"
ts77474,Mr. Sunshine,SHOW,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology.",2018,TV-MA,76,drama action history romance war,KR,1.0,8.7,6855.0,26.485,8.4,Lee Byung-hun,"drama action history romance war Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology. KR SHOW TV-MA Lee Byung-hun"
tm244307,Bright,MOVIE,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",2017,R,117,thriller fantasy action crime scifi,US,0.0,6.3,183841.0,25.593,6.2,Will Smith,"thriller fantasy action crime scifi In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle. US MOVIE R Will Smith"
tm298846,The Incredible Jessica James,MOVIE,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",2017,NR,83,comedy,US,0.0,6.5,7496.0,8.304,6.2,Jessica Williams,"comedy Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date. US MOVIE NR Jessica Williams"
tm412623,The Kissing Booth,MOVIE,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",2018,NR,105,romance comedy,GB,0.0,5.9,81639.0,79.881,7.3,Joey King,"romance comedy When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend. GB MOVIE NR Joey King"
tm298339,Handsome Devil,MOVIE,A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,2017,NR,95,drama comedy sport european,IE,0.0,7.0,13708.0,11.599,7.1,Fionn O'Shea,drama comedy sport european A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate. IE MOVIE NR Fionn O'Shea
ts57964,Hotel Transylvania: The Series,SHOW,"Mavis navigates life without her dad, Dracula, around and discovers one of the few common human and monster truths: being a teenager bites.",2017,TV-Y7,16,comedy family fantasy horror animation,US,2.0,5.5,694.0,24.098,7.4,Bryn McAuley,"comedy family fantasy horror animation Mavis navigates life without her dad, Dracula, around and discovers one of the few common human and monster truths: being a teenager bites. US SHOW TV-Y7 Bryn McAuley"
tm245176,Sand Castle,MOVIE,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",2017,NR,113,drama action war,IQ GB,0.0,6.3,22854.0,47.136,6.5,Logan Marshall-Green,"drama action war Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village. IQ GB MOVIE NR Logan Marshall-Green"
ts78298,My Mister,SHOW,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",2018,TV-14,79,drama family,KR,1.0,9.2,5481.0,14.997,8.9,Lee Sun-kyun,"drama family In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another. KR SHOW TV-14 Lee Sun-kyun"
ts83251,Magic For Humans,SHOW,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",2018,TV-14,24,comedy reality,US,3.0,7.1,3316.0,11.61,6.8,Adam Franklin,"comedy reality From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs. US SHOW TV-14 Adam Franklin"
ts55194,Bill Nye Saves The World,SHOW,"Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry.",2017,TV-14,30,comedy,US,3.0,3.5,7233.0,9.87,3.6,Bill Nye,"comedy Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry. US SHOW TV-14 Bill Nye"
ts84335,1983,SHOW,"Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state.",2018,TV-MA,57,drama crime thriller,PL,1.0,6.8,4173.0,8.68,6.5,Robert Więckiewicz,"drama crime thriller Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state. PL SHOW TV-MA Robert Więckiewicz"
tm351101,Errementari: The Blacksmith And The Devil,MOVIE,"Basque Country, Spain, 1843. A police constable arrives at a small village in Álava to investigate a mysterious blacksmith who lives alone deep in the woods.",2018,NR,98,drama fantasy horror thriller european,ES FR,0.0,6.4,11561.0,16.218,6.4,Kandido Uranga,"drama fantasy horror thriller european Basque Country, Spain, 1843. A police constable arrives at a small village in Álava to investigate a mysterious blacksmith who lives alone deep in the woods. ES FR MOVIE NR Kandido Uranga"
